"","x","y","depJan","depFeb","depMar","depApr","depMay","depJun","depJul","depAug","depSep","depOct","depNov","depDec"
"13406",-145,-86.2105263157895,8.04911195221382e-13,9.36288276447614e-13,1.13890685041279e-12,2.17843531147304e-12,2.03441847108866e-12,5.04007026696005e-12,1.0679210430393e-11,1.61293669765576e-11,6.7952925543593e-12,8.22171043709564e-12,1.19294211026093e-12,1.33447778203155e-12
"13407",-142.5,-86.2105263157895,7.2819300714466e-13,8.90522983075323e-13,9.92179427834834e-13,2.34250747271055e-12,1.86071336942499e-12,4.8245141249934e-12,1.05869647307888e-11,2.17661383911777e-11,6.76146512894039e-12,8.009213714607e-12,1.18125816955024e-12,1.27961177344457e-12
"13408",-140,-86.2105263157895,7.11971251531689e-13,8.15729939422055e-13,1.28701847305733e-12,2.1753710321435e-12,1.99812538569986e-12,5.06854042074581e-12,1.04647743412684e-11,1.46088795205233e-11,6.61507668100699e-12,7.76935202574636e-12,1.21831503778247e-12,1.24932832328906e-12
"13409",-137.5,-86.2105263157895,6.90248858665292e-13,8.07506355941003e-13,1.06722604138877e-12,2.02400223694452e-12,2.29221515616513e-12,4.18180104649559e-12,9.62714633964061e-12,1.89849848640972e-11,7.6956881114225e-12,7.60025149047517e-12,1.12641288680069e-12,1.20423590494914e-12
"13410",-135,-86.2105263157895,7.33323295123766e-13,8.05165765679723e-13,9.82822998667322e-13,2.07475481001767e-12,2.14597779243974e-12,5.20455680200931e-12,9.65341469480745e-12,1.77181873756556e-11,7.52568764599649e-12,7.6055881792077e-12,1.09918106606706e-12,1.18683584974417e-12
"13411",-132.5,-86.2105263157895,7.06508278127659e-13,8.1811383953672e-13,1.10108484143744e-12,2.13223356055188e-12,2.34681673165389e-12,4.86365994323317e-12,9.9613028702115e-12,2.0757633435606e-11,7.38498465261165e-12,7.74021978865738e-12,1.17405472608108e-12,1.13442277975101e-12
"13412",-130,-86.2105263157895,7.89970367829874e-13,9.00606746199752e-13,9.64144302229853e-13,2.37781229299606e-12,2.36112127583635e-12,5.34256800939107e-12,1.03770031355596e-11,2.24124712014482e-11,8.20845962307539e-12,8.12297712156595e-12,1.20368659878889e-12,1.13633270140422e-12
"13413",-127.5,-86.2105263157895,7.23574432944814e-13,8.0240629909718e-13,9.86539713065425e-13,2.20614975834513e-12,2.66956018676876e-12,5.33755035561813e-12,1.06854367578301e-11,2.52793879579327e-11,8.85086681680011e-12,9.33695660003208e-12,1.22341902538856e-12,1.12140709678296e-12
"13414",-125,-86.2105263157895,7.55231577311372e-13,8.46242588752151e-13,1.01939616873502e-12,2.24542936543892e-12,2.84775750649237e-12,5.62822264989671e-12,1.12452962286252e-11,2.31195921782112e-11,9.47074602579813e-12,9.10687979342647e-12,1.19754296029635e-12,9.59451400888885e-13
"13415",-122.5,-86.2105263157895,7.03030768480838e-13,8.39945507594246e-13,1.02140042868273e-12,2.40691008231386e-12,3.06827469925526e-12,5.6477186590129e-12,1.14704891703119e-11,3.09227710576293e-11,1.03578987733024e-11,9.2013644552202e-12,1.17080198456775e-12,8.57166248571254e-13
